station,lat,long
Culver City,34.0282,-118.3883
La Cienega-Jefferson,34.026,-118.3721
Expo-La Brea,34.0248,-118.3552
Farmdale,34.024,-118.346
Expo-Crenshaw,34.0225,-118.335
Expo-Western,34.0182,-118.3089
Expo-Vermont,34.0182,-118.2916
Expo Park-USC,34.0182,-118.2866
