permit_number,case_number,unique_id,type,duplicate,address,zip,application_date,permitted,permit_date,application_quarter,permit_quarter,tier,lat,long,eli,vli,li,uncat,total_affordable,market_rate,units,building_size,pct_affordable,affordability,orig_order
,DIR-2018-4525-TOC,DIR-2018-4525-TOC,discretionary,Yes,6753 Selma Ave,90028,8/2/18,,,,,,34.09981,-118.33766,0,8,0,0,8,43,51,050-099 units,0.16,10-19%,
,DIR-2018-2943-TOC,DIR-2018-2943-TOC,discretionary,No,846 S Mariposa Ave,90005,5/22/18,,,,,,34.05637,-118.29857,4,1,1,0,6,32,38,020-049 units,0.16,10-19%,
,DIR-2018-4336-TOC,DIR-2018-4336-TOC,discretionary,No,10867 Fruitland Dr,91604,7/26/18,,,,,,34.13849,-118.36779,0,3,0,0,3,16,19,010-019 units,0.16,10-19%,
,DIR-2018-2957-TOC,DIR-2018-2957-TOC,discretionary,Yes,5314 Cartwright Ave,91601,5/22/18,,,,,,34.16720,-118.36305,0,8,0,0,8,42,50,050-099 units,0.16,10-19%,
,DIR-2018-5664-TOC,DIR-2018-5664-TOC,discretionary,No,2837 San Marino St,90006,9/27/18,,,,,,34.05514,-118.28995,0,4,0,0,4,21,25,020-049 units,0.16,10-19%,
,DIR-2018-7148-TOC,DIR-2018-7148-TOC,discretionary,No,2310 Ocean View Ave,90057,12/5/18,,,,,,34.06268,-118.27586,0,4,0,0,4,20,24,020-049 units,0.17,10-19%,
,DIR-2018-5473-DRB-SPP-TOC,DIR-2018-5473-DRB-SPP-TOC,discretionary,No,6515 Crenshaw Blvd,90043,9/19/18,,,,,,33.98014,-118.33118,0,4,0,0,4,20,24,020-049 units,0.17,10-19%,
,DIR-2018-347-TOC-SPP-SPPA-WDI,DIR-2018-347-TOC-SPP-SPPA-WDI,discretionary,No,4575 Santa Monica Blvd,90029,1/19/18,,,,,,34.09102,-118.28836,0,2,0,0,2,10,12,010-019 units,0.17,10-19%,
,DIR-2018-6162-TOC,DIR-2018-6162-TOC,discretionary,No,231 S Westlake Ave,90057,10/23/18,,,,,,34.06412,-118.27035,0,1,0,0,1,5,6,005-009 units,0.17,10-19%,
,DIR-2018-3411-TOC,DIR-2018-3411-TOC,discretionary,Yes,2465 Purdue Ave,90064,6/13/18,,,,,,34.03262,-118.43944,2,1,0,0,3,14,17,010-019 units,0.18,10-19%,
,DIR-2018-6987-TOC,DIR-2018-6987-TOC,discretionary,Yes,8867 Alcott St,90035,11/29/18,,,,,,34.05422,-118.38609,0,2,1,0,3,14,17,010-019 units,0.18,10-19%,
,DIR-2018-5175-TOC,DIR-2018-5175-TOC,discretionary,No,8900 Ramsgate Ave,90045,9/4/18,,,,,,33.95650,-118.38253,4,1,1,0,6,27,33,020-049 units,0.18,10-19%,
,DIR-2018-3005-TOC,DIR-2018-3005-TOC,discretionary,Yes,924 S Catalina St,90006,5/24/18,,,,,,34.05498,-118.29523,3,1,2,0,6,27,33,020-049 units,0.18,10-19%,
,DIR-2018-1677-TOC,DIR-2018-1677-TOC,discretionary,Yes,11514 Cumpston St,91601,3/23/18,,,,,,34.16955,-118.38283,2,0,0,0,2,9,11,010-019 units,0.18,10-19%,
,DIR-2018-5142-TOC,DIR-2018-5142-TOC,discretionary,No,655 S La Jolla Ave,90048,8/31/18,,,,,,34.06448,-118.36827,0,2,0,0,2,9,11,010-019 units,0.18,10-19%,
,DIR-2018-6059-TOC,DIR-2018-6059-TOC,discretionary,No,834 S Shenandoah St,90035,10/17/18,,,,,,34.06193,-118.38120,0,2,0,0,2,9,11,010-019 units,0.18,10-19%,
,DIR-2018-7606-TOC,DIR-2018-7606-TOC,discretionary,No,9033 Ramsgate Ave,90045,12/20/18,,,,,,33.95421,-118.38279,0,7,2,0,9,36,45,020-049 units,0.20,20-29%,
,DIR-2018-5515-TOC,DIR-2018-5515-TOC,discretionary,Yes,329 S Bonnie Brae St,90057,9/20/18,,,,,,34.06114,-118.27086,0,6,0,0,6,24,30,020-049 units,0.20,20-29%,
,DIR-2018-6560-TOC,DIR-2018-6560-TOC,discretionary,No,8716 Ramsgate Ave,90045,11/8/18,,,,,,33.95846,-118.38254,6,0,0,0,6,24,30,020-049 units,0.20,20-29%,
,DIR-2018-4655-TOC,DIR-2018-4655-TOC,discretionary,No,8911 Ramsgate Ave,90045,8/9/18,,,,,,33.95622,-118.38280,0,5,1,0,6,24,30,020-049 units,0.20,20-29%,
,DIR-2018-5208-TOC,DIR-2018-5208-TOC,discretionary,No,8922 Reading Ave,90045,9/5/18,,,,,,33.95590,-118.38145,3,2,1,0,6,24,30,020-049 units,0.20,20-29%,
,DIR-2018-1277-TOC,DIR-2018-1277-TOC,discretionary,Yes,9007 Ramsgate Ave,90045,3/8/18,,,,,,33.95497,-118.38280,3,2,1,0,6,24,30,020-049 units,0.20,20-29%,
,DIR-2018-2503-SPP-TOC,DIR-2018-2503-SPP-TOC,discretionary,Yes,549 N Heliotrope Dr,90004,5/2/18,,,,,,34.08053,-118.29545,0,2,0,0,2,8,10,010-019 units,0.20,20-29%,
,APCC-2018-3029-SPE-SPP-TOC,APCC-2018-3029-SPE-SPP-TOC,discretionary,No,4055 Oakwood Ave,90004,5/24/18,,,,,,34.07783,-118.29459,0,10,4,0,14,54,68,050-099 units,0.21,20-29%,
,DIR-2018-6344-TOC,DIR-2018-6344-TOC,discretionary,No,8733 Reading Ave,90045,10/30/18,,,,,,33.95883,-118.38174,7,0,0,0,7,27,34,020-049 units,0.21,20-29%,
,DIR-2018-2628-TOC,DIR-2018-2628-TOC,discretionary,Yes,941 N Martel Ave,90046,5/7/18,,,,,,34.08823,-118.35125,0,2,1,0,3,11,14,010-019 units,0.21,20-29%,
,DIR-2018-2234-TOC,DIR-2018-2234-TOC,discretionary,No,985 3rd Ave,90019,4/19/18,,,,,,34.05305,-118.31760,0,0,11,0,11,40,51,050-099 units,0.22,20-29%,
,DIR-2018-5079-TOC-SPR,DIR-2018-5079-TOC-SPR,discretionary,No,401 S Western Ave,90020,8/29/18,,,,,,34.06702,-118.30939,0,0,16,0,16,57,73,050-099 units,0.22,20-29%,
,DIR-2018-4983-TOC,DIR-2018-4983-TOC,discretionary,No,904 S Normandie Ave,90006,8/24/18,,,,,,34.05565,-118.29966,0,0,7,0,7,22,29,020-049 units,0.24,20-29%,
,DIR-2018-1393-TOC-DRB-SPP-SPR,DIR-2018-1393-TOC-DRB-SPP-SPR,discretionary,No,4252 Crenshaw Blvd,90008,3/13/18,,,,,,34.00668,-118.33443,0,0,28,0,28,83,111,100-199 units,0.25,20-29%,
,DIR-2016-3116-TOC-SPP,DIR-2016-3116-TOC-SPP,discretionary,No,1322 Maryland St,90017,#N/A,,,,,,34.05600,-118.26176,0,0,13,0,13,35,48,020-049 units,0.27,20-29%,
,DIR-2018-6671-TOC,DIR-2018-6671-TOC,discretionary,No,320 N Mountain View Ave,90026,11/14/18,,,,,,34.06943,-118.26716,2,1,1,0,4,10,14,010-019 units,0.29,20-29%,
,DIR-2017-5395-SPR-TOC,DIR-2017-5395-SPR-TOC,discretionary,No,2375 W Washington Blvd,90018,12/20/17,,,,,,34.04009,-118.31383,0,9,53,0,62,2,64,050-099 units,0.97,90+%,
,DIR-2018-5415-TOC,DIR-2018-5415-TOC,discretionary,No,4601 W Washington Blvd,90016,9/18/18,,,,,,34.04001,-118.33993,3,0,29,0,32,1,33,020-049 units,0.97,90+%,
,DIR-2018-5919-TOC,DIR-2018-5919-TOC,discretionary,No,1035 S Berendo St,90006,10/11/18,,,,,,34.05172,-118.29388,0,0,41,0,41,1,42,020-049 units,0.98,90+%,
,DIR-2018-5204-TOC,DIR-2018-5204-TOC,discretionary,Yes,4604 S Western Ave,90062,9/5/18,,,,,,34.00167,-118.30875,0,0,48,0,48,1,49,020-049 units,0.98,90+%,
,DIR-2018-394-TOC,DIR-2018-394-TOC,discretionary,No,6901 S Main St,90003,1/23/18,,,,,,33.97720,-118.27415,0,0,49,0,49,1,50,050-099 units,0.98,90+%,
,DIR-2018-5601-TOC,DIR-2018-5601-TOC,discretionary,No,7600 S Vermont Ave,90044,9/25/18,,,,,,33.97057,-118.29131,0,6,43,0,49,1,50,050-099 units,0.98,90+%,
,DIR-2017-4059-TOC,DIR-2017-4059-TOC,discretionary,No,432 E Florence Ave,90003,10/10/17,,,,,,33.97456,-118.26683,50,0,0,0,50,1,51,050-099 units,0.98,90+%,
,DIR-2017-4872-TOC,DIR-2017-4872-TOC,discretionary,No,5627 Fernwood Ave,90028,11/21/17,,,,,,34.09607,-118.31193,0,59,0,0,59,1,60,050-099 units,0.98,90+%,
,DIR-2018-545-TOC-WDI,DIR-2018-545-TOC-WDI,discretionary,No,11950 Missouri Ave,90025,1/30/18,,,,,,34.03536,-118.45663,0,0,73,0,73,1,74,050-099 units,0.99,90+%,
,DIR-2018-4135-TOC-SPR,DIR-2018-4135-TOC-SPR,discretionary,No,714 S Grand View St,90057,7/17/18,,,,,,34.05688,-118.27912,11,0,88,0,99,1,100,100-199 units,0.99,90+%,
,DIR-2018-3691-TOC-SPP-WDI,DIR-2018-3691-TOC-SPP-WDI,discretionary,No,418 Firmin St,90026,6/22/18,,,,,,34.06469,-118.25383,0,64,0,0,64,0,64,050-099 units,1.00,90+%,
,DIR-2018-5417-TOC,DIR-2018-5417-TOC,discretionary,No,4600 W Washington Blvd,90016,9/18/18,,,,,,34.03967,-118.34007,3,0,20,0,23,0,23,020-049 units,1.00,90+%,
